Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
307000.0;38.11;2;0;8;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
784000.0;128.0;4;0;2;3;1903;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0.7
375000.0;44.41;3;0;4;4;1963;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1.9
591500.0;65.0;2;0;2;4;2010;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.9
420000.0;47.65;2;0;4;11;1969;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0.0
409000.0;57.59;4;0;2;2;2000;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;8.6
699000.0;110.0;3;0;2;2;2007;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;6.4
469000.0;47.8;3;0;1;12;1982;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.8
269000.0;36.8;1;0;1;2;1980;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3.2
587000.0;94.03;6;0;3;4;1900;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0.0
630000.0;106.44;7;0;2;4;1940;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0.5
357000.0;53.0;2;0;3;4;1950;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.0
447300.0;63.0;3;1;1;3;2021;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;18.6
478000.0;57.51;2;0;1;4;1993;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.2
325606.0;39.07;2;1;0;4;2023;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.3
375000.0;56.91;4;0;3;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.7
357000.0;33.0;2;0;2;4;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
595000.0;75.83;3;0;1;3;2020;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;17.0
749000.0;80.22;3;0;0;4;2012;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
654000.0;90.0;3;0;0;3;1930;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.9
440000.0;54.0;3;0;2;4;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.8
471500.0;53.27;3;1;2;10;2023;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.3
479000.0;63.95;3;0;3;10;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;18.6
498000.0;92.0;3;0;4;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.9
455000.0;48.0;3;0;1;12;1978;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;4.4
449000.0;52.0;2;0;3;4;1912;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.9
715000.0;72.0;3;0;2;2;2018;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.5
449000.0;50.2;2;0;5;5;2005;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.2
295000.0;36.89;2;0;1;1;1976;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
285000.0;32.0;1;0;2;4;2016;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.6
459000.0;71.82;3;0;0;11;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6.4
680000.0;68.32;3;0;0;4;2007;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.8
629000.0;75.0;4;0;4;4;1991;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;11.0
352500.0;47.0;2;0;2;4;2000;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1.6
265000.0;29.45;1;0;0;11;1970;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.8
366995.0;38.63;2;0;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1.3
