Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
527100.0;42.0;2;0;4;9;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.9
355000.0;40.6;2;0;2;10;1976;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3.7
635000.0;44.66;2;0;0;3;1929;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1.9
1149000.0;68.08;3;0;11;15;2007;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.3
545900.0;52.0;3;0;1;3;1960;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.9
478000.0;31.0;2;0;0;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;12.5
630000.0;68.0;4;0;2;3;1935;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;16.8
425000.0;27.0;1;0;4;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;18.0
515000.0;49.0;3;0;2;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.6
354000.0;38.04;1;0;1;3;1985;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;24.1
695000.0;54.7;2;0;8;9;1965;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;21.2
269000.0;31.0;1;0;0;2;1955;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;12.5
647000.0;55.0;3;0;5;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.6
619900.0;50.73;3;1;10;12;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;20.4
599000.0;49.7;2;0;4;4;2013;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;24.1
450000.0;53.0;3;0;8;10;1979;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.5
479000.0;86.0;4;0;1;2;1920;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;19.9
520000.0;51.0;3;0;4;4;1963;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;14.6
450000.0;51.2;3;0;4;4;1967;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;49.8
690000.0;47.0;3;0;8;10;1975;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;8.0
1699000.0;110.19;4;0;0;2;1930;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;4.8
1530000.0;86.0;4;0;0;4;2018;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.8
480000.0;48.4;2;0;4;5;1955;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;17.4
720000.0;190.0;4;0;0;1;2021;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;17.7
799000.0;100.0;4;0;1;1;2017;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.1
995000.0;61.75;3;0;0;4;2017;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.4
970000.0;98.0;6;0;3;4;1938;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.8
1898000.0;89.76;3;0;4;4;2017;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.0
495000.0;47.0;2;0;0;10;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;10.0
515000.0;65.3;3;0;0;4;1990;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.7
499000.0;70.0;3;0;3;3;2001;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;31.5
790000.0;64.0;4;0;1;11;1974;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;13.6
448000.0;27.0;1;0;3;5;2021;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;21.1
315000.0;28.0;2;0;0;2;1950;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;20.5
550000.0;47.0;3;0;0;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;9.5
550000.0;47.0;2;0;2;3;1960;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;20.9
1279000.0;75.06;4;0;4;5;1995;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1.1
987000.0;83.0;3;0;4;4;1950;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;17.4
475000.0;67.0;4;0;3;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;20.4
630000.0;67.73;4;0;2;3;1935;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;17.6
949000.0;147.5;6;0;4;5;1995;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.6
899000.0;78.4;4;0;1;2;1928;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;18.5
499000.0;59.6;3;0;3;4;1981;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;12.1
999000.0;61.2;3;0;0;1;2017;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;14.0
428000.0;52.6;3;0;2;2;2012;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;13.3
579000.0;33.77;2;0;1;6;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;18.3
579000.0;33.77;2;0;1;6;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;17.5
385000.0;47.0;2;0;4;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.0
370700.0;33.7;2;0;1;4;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.8
799000.0;121.0;4;0;1;1;2014;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;24.9
599000.0;47.3;2;0;0;2;1930;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12.6
729000.0;66.34;3;0;0;3;2002;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.8
980000.0;104.0;4;0;3;3;2012;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.0
559000.0;53.2;3;0;8;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;12.7
329000.0;26.0;1;0;2;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;17.7
720000.0;67.51;3;0;0;1;2018;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;20.3
438000.0;43.6;2;0;2;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;15.0
