Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
990000.0;80.0;3;0;0;3;1950;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;9.0
1295000.0;127.0;5;0;3;3;1900;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;9.9
899000.0;78.39;4;0;1;2;1928;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;10.1
499000.0;53.7;3;0;10;10;1974;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;9.8
929000.0;48.07;3;0;11;17;2018;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.4
663487.0;68.05;4;1;1;6;2021;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;12.1
1410000.0;64.12;3;0;3;7;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.9
799000.0;62.4;4;0;5;6;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;8.3
529000.0;47.4;3;0;4;10;1970;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;4.4
585000.0;54.0;3;0;3;4;1973;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.6
936250.0;74.9;3;0;1;4;2009;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.2
320000.0;37.7;2;0;1;2;1950;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;12.9
985000.0;42.0;2;0;2;6;2020;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.3
690000.0;85.0;3;0;0;3;1990;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;7.5
599000.0;34.0;2;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;9.5
520000.0;38.0;2;0;4;7;1968;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;9.0
529000.0;46.0;2;0;1;10;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.3
795000.0;50.0;2;0;10;17;2011;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.8
990000.0;80.0;3;0;0;2;1950;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;9.2
950000.0;81.92;4;0;3;3;1920;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;8.7
580000.0;54.36;3;0;3;4;1969;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;9.3
990000.0;69.8;3;0;4;6;2013;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.5
