Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
459000.0;67.7;2;0;3;4.0;1940.0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5.7
278000.0;20.0;1;1;1;2.0;2018.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.9
429000.0;60.0;3;0;7;10.0;1990.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.6
534900.0;57.5;3;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;50.0
569000.0;83.97;4;0;2;3.0;2012.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;12.6
1199000.0;92.0;4;0;2;2.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.6
600000.0;54.91;2;0;0;4.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.9
540000.0;98.45;4;0;2;2.0;2009.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.3
339000.0;52.89;2;1;0;1.0;2021.0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;14.9
629000.0;72.82;4;0;4;8.0;2006.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9.9
339000.0;36.0;2;0;7;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.7
640000.0;52.49;3;0;6;7.0;2021.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
499000.0;63.0;4;0;4;4.0;1979.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;8.8
1065000.0;50.63;2;0;3;4.0;1955.0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.4
409000.0;44.65;2;0;3;4.0;2013.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.8
1199000.0;160.0;4;0;3;3.0;1900.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.6
494000.0;46.31;1;1;3;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
939000.0;98.0;4;1;0;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
988999.0;100.85;4;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;50.0
179000.0;27.08;1;0;1;2.0;2021.0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.4
722781.0;88.72;4;1;0;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
630980.0;77.22;4;1;3;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
492770.0;58.38;3;1;0;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
498380.0;63.87;3;1;3;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
426420.0;51.69;3;1;1;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
384130.0;40.23;2;1;4;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11.4
