Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
495000.0;59.95;3;0;3;3;2006;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;16.5
470000.0;36.93;2;0;3;6;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;10.4
900000.0;50.0;2;0;6;7;2007;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.4
1023700.0;70.6;3;0;2;6;2016;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.4
409000.0;36.9;2;0;4;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.6
515000.0;45.4;1;0;1;2;2008;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;7.8
890000.0;78.2;3;0;4;6;2009;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;9.5
709665.0;43.01;2;0;6;7;2019;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.2
900000.0;76.6;3;0;1;10;2000;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;10.6
639000.0;49.0;2;0;4;4;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.9
629000.0;38.0;2;0;3;5;1966;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2.6
769000.0;59.6;3;0;2;3;1980;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10.1
475000.0;42.4;2;0;8;8;1982;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;11.8
668000.0;72.4;3;0;4;4;1999;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;16.0
668000.0;72.4;3;0;4;4;1999;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;16.0
639000.0;60.8;3;0;1;2;2016;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;19.9
330000.0;32.0;2;0;0;4;1938;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;6.8
950000.0;53.0;2;0;2;6;2015;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.0
430000.0;46.4;2;0;1;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;13.5
683400.0;67.0;3;0;1;4;2007;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13.1
1080000.0;60.0;3;1;1;3;2021;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5.3
545000.0;51.8;2;0;4;4;1993;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;9.2
1080000.0;98.6;4;0;1;3;1998;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;9.8
519000.0;53.4;3;0;3;4;1967;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;6.5
415000.0;35.84;1;0;2;2;2008;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;7.8
575000.0;69.31;3;0;5;8;2014;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20.8
995000.0;63.2;3;0;1;7;2020;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.2
725000.0;56.0;3;0;6;10;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.5
399000.0;18.9;1;0;5;5;2019;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.3
880000.0;93.0;3;0;1;3;2003;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;20.8
748167.0;108.43;4;1;0;1;2021;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;19.2
400000.0;37.5;2;0;3;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;13.6
750000.0;58.0;3;0;3;3;1963;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.3
490000.0;47.0;3;0;4;4;1970;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;12.9
730000.0;44.34;2;0;1;10;2015;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;8.3
277000.0;17.0;2;0;0;4;1950;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.0
700000.0;41.0;2;0;4;5;1954;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.7
499000.0;48.0;3;0;7;11;1795;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;7.3
698000.0;33.42;2;0;2;3;1946;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.3
519000.0;46.52;2;0;1;3;2021;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;19.8
1450000.0;91.5;3;0;5;10;2011;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.8
589999.0;57.38;3;0;7;10;1965;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5.1
