Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
299900.0;57.07;3;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;26.6
449000.0;88.0;4;1;1;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;27.4
399000.0;65.2;3;0;1;4.0;1985.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;7.7
435000.0;47.0;3;0;1;13.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;4.2
135000.0;38.0;2;0;1;3.0;1939.0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;15.4
141000.0;28.3;2;0;7;11.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;7.9
440000.0;54.64;3;0;2;4.0;1895.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1.8
345000.0;42.69;1;0;2;4.0;1895.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1.8
105000.0;20.0;1;0;1;3.0;1900.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;17.6
289000.0;50.0;3;0;1;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.7
585000.0;74.01;4;1;2;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
315000.0;39.25;2;1;0;2.0;2023.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
