Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
370000.0;60.8;3;0;4;4;1986;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2.8
285558.5;38.33;2;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
450000.0;77.0;5;0;4;4;1970;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;3.7
290924.7;38.33;2;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
388727.5;57.25;3;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
388727.5;57.25;3;1;5;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
399000.0;44.0;2;0;6;8;2020;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2.8
351878.6;48.94;2;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
377475.0;52.5;3;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
377475.0;52.5;3;1;3;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
351878.6;48.94;2;1;5;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
467840.7;66.93;3;1;1;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
443441.1;67.29;3;1;2;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
362361.6;51.84;3;1;3;3;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
542928.4;79.96;4;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
456899.1;67.29;3;1;3;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
585130.0;90.02;5;1;3;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
603134.0;90.02;5;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
456899.1;67.29;3;1;4;5;2021;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;6.2
