Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Rok budowy;Liczba pięter;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
515781.22;74.99;4;1;0;2022;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;13.7
392610.0;34.14;2;1;6;2021;7;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.1
250000.0;33.36;1;1;3;2021;3;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
320000.0;66.6;3;0;1;1890;4;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.9
460000.0;62.2;3;0;2;1972;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2.3
349000.0;68.0;3;0;4;2007;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;12.2
550000.0;48.66;3;0;1;2016;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
482000.0;62.0;3;0;8;1986;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4.5
455000.0;47.35;2;1;0;2021;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.9
445000.0;51.0;3;0;10;1975;11;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4.9
285000.0;36.85;2;0;4;1969;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.9
219999.0;48.0;2;0;0;1959;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;26.4
499000.0;80.4;3;0;3;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.1
409000.0;54.8;2;0;1;1992;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.1
426000.0;46.62;2;1;3;2021;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.7
319000.0;36.5;1;1;2;1960;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.2
858000.0;85.75;2;0;3;2014;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.9
359000.0;57.29;3;0;0;1977;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.3
614000.0;65.35;3;0;1;2021;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.0
575000.0;73.35;3;0;1;1999;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.2
299000.0;53.94;2;0;3;2005;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;10.5
469000.0;62.12;3;0;4;1982;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
590000.0;71.3;3;0;2;2008;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
315000.0;45.0;2;0;1;1967;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.1
164862.0;23.22;1;1;2;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
256156.0;37.67;2;1;1;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
267784.0;39.38;2;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
148461.0;20.91;1;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
256156.0;37.67;2;1;2;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
164862.0;23.22;1;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
256156.0;37.67;2;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
425322.0;60.0;4;1;1;2022;6;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
369651.0;51.0;3;1;1;2022;6;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
209168.0;30.76;2;1;0;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
299000.0;37.0;2;0;1;1975;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.8
585000.0;45.0;2;0;1;1903;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.7
278000.0;53.0;3;0;0;1973;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.3
291000.0;60.84;3;0;0;1989;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;16.4
540000.0;47.17;2;0;1;2021;5;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;7.2
269000.0;37.48;2;0;2;1975;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5.5
440000.0;71.0;3;0;2;1961;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;4.3
360000.0;52.97;3;0;2;1974;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.9
498387.0;72.23;3;1;2;2019;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;11.4
369777.0;51.87;3;0;4;1966;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;53.9
310000.0;41.5;2;0;8;1963;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.2
419000.0;63.43;3;0;1;1985;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.2
400000.0;87.0;2;0;1;1945;3;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2.1
470000.0;62.2;3;0;2;1978;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2.3
359000.0;57.29;3;0;0;1986;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.3
340000.0;57.0;2;0;3;1960;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;36.8
498045.24;74.58;4;1;1;2022;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;13.7
278000.0;43.0;2;0;4;1985;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.3
289000.0;41.5;2;0;2;1965;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.8
380000.0;50.0;3;0;4;1974;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4.1
315000.0;38.75;2;1;6;2022;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;4.5
217777.0;31.35;1;1;2;1969;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
306152.0;39.76;2;0;3;2021;5;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;4.0
239000.0;42.0;2;0;4;1964;4;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;36.8
430000.0;67.0;3;0;2;1938;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;53.9
289000.0;45.97;3;0;2;1965;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;4.1
278000.0;37.0;2;0;3;1974;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;36.8
249000.0;40.0;2;0;4;1900;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2.7
420000.0;72.4;4;0;3;1985;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13.4
149900.0;32.0;1;0;2;1910;4;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2.3
669000.0;125.0;5;0;3;2008;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;12.5
254000.0;37.68;2;0;3;1968;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.6
399000.0;50.0;3;0;3;2018;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12.2
304900.0;34.27;2;1;0;2022;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
316900.0;39.36;2;1;1;2022;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
309900.0;38.04;2;1;1;2022;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
578000.0;64.3;3;0;0;2009;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.0
569000.0;131.25;4;0;1;1950;3;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;7.5
760000.0;80.27;4;0;0;2017;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.5
148461.0;20.91;1;1;1;2021;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;7.4
279000.0;43.2;2;0;10;1977;11;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;7.6
290000.0;38.0;2;0;1;1958;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4.9
209000.0;41.0;1;0;2;1920;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.7
304000.0;55.0;3;0;4;1974;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;3.1
421000.0;54.0;3;0;2;1961;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;36.8
750000.0;94.03;3;0;2;1996;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;6.0
280000.0;48.63;2;0;3;1890;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.4
454900.0;63.56;3;0;4;1991;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;8.3
480000.0;57.8;2;0;1;2009;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.2
305000.0;75.37;3;0;0;1981;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;12.5
277777.0;42.0;2;0;3;1969;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
269000.0;50.0;1;0;0;1890;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1.3
285000.0;37.0;2;0;4;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;8.2
490000.0;92.2;3;0;2;1905;3;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2.1
290000.0;45.0;2;0;3;1970;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;7.8
332500.0;35.0;2;1;1;2021;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
464902.0;51.0;3;1;8;2021;8;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
425322.0;60.0;4;1;1;2021;6;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;5.8
