Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
830000.0;71.0;3;0;3;4.0;2012.0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3.0
720000.0;110.8;4;0;3;6.0;1912.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2.9
278300.0;16.76;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.6
799000.0;72.75;3;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;3.6
726000.0;66.05;4;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;2.7
664900.0;61.4;2;0;11;14.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6.4
662000.0;83.0;3;0;1;3.0;1920.0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;5.3
499900.0;52.1;3;0;6;6.0;2016.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.7
449000.0;65.0;2;0;5;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2.4
515000.0;60.94;4;0;0;5.0;1989.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
699000.0;93.0;4;0;2;3.0;1940.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3.2
345000.0;49.4;3;0;3;4.0;1950.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.5
128000.0;40.0;2;1;10;24.0;2023.0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1.5
351480.0;40.4;2;1;0;4.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.5
680000.0;73.0;3;0;1;10.0;2009.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.6
450000.0;69.0;2;0;1;2.0;1950.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3.1
542000.0;44.0;2;0;1;3.0;1590.0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1.5
391600.0;45.54;2;1;1;2.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.8
413340.0;49.8;2;0;3;5.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;3.2
889000.0;83.35;4;0;4;6.0;2015.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.8
798000.0;114.0;3;0;1;2.0;1935.0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;5.7
319000.0;27.0;1;0;5;6.0;2015.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.1
390000.0;47.0;2;0;1;3.0;1956.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.8
355000.0;36.0;1;0;2;8.0;2013.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.1
265740.0;30.9;1;0;5;5.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;4.1
439800.0;43.0;2;0;2;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
895000.0;84.0;3;0;0;5.0;1920.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2.8
414834.0;49.98;2;0;3;5.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
430000.0;49.0;2;0;4;8.0;2005.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.8
460000.0;66.7;5;0;2;12.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;7.2
299000.0;35.55;1;0;1;4.0;1940.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1.5
621000.0;86.85;4;1;0;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
521000.0;66.42;3;1;1;5.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.5
349000.0;43.7;2;0;5;5.0;1902.0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;2.4
359000.0;43.3;2;0;3;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.1
399000.0;49.2;2;0;2;6.0;2008.0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;4.7
540127.0;71.54;3;1;1;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.5
660000.0;60.5;2;0;1;5.0;2016.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.7
579000.0;71.0;3;0;2;3.0;2012.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.8
