Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
455000.0;48.71;2;0;4;4.0;1957.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.0
519000.0;80.0;4;0;3;4.0;2011.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
349000.0;51.0;2;0;2;4.0;1964.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
525000.0;77.0;3;0;1;1.0;2016.0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;7.8
349000.0;37.62;2;0;4;4.0;2005.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.1
393924.0;57.93;3;1;0;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3.7
393924.0;57.93;3;1;0;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3.7
393924.0;57.93;3;1;0;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3.7
408136.0;60.02;3;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;3.7
460000.0;73.1;3;0;2;3.0;2009.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5.1
381000.0;54.55;3;1;1;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.4
312615.0;30.99;1;1;3;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.4
346550.0;49.34;3;1;1;4.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.4
445000.0;49.59;2;0;1;9.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
347605.0;36.59;2;1;1;12.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;21.6
315187.0;51.67;2;1;2;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
528840.0;88.14;4;1;3;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
349774.0;57.34;3;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
392291.0;66.49;3;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
297472.0;46.48;2;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
394440.0;65.74;3;1;1;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;4.7
499000.0;73.7;5;0;1;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
375000.0;54.3;3;1;0;2.0;2022.0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
454360.5;91.79;4;1;1;1.0;2021.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.3
490000.0;51.2;2;0;0;4.0;2011.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.1
549700.0;59.75;3;1;1;12.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;21.6
510000.0;117.49;4;1;1;2.0;2019.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;10.0
419000.0;58.4;3;0;0;4.0;1961.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1.2
350000.0;50.9;3;0;2;10.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1.2
389000.0;48.6;2;0;0;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1.2
349000.0;49.96;2;0;2;7.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
475000.0;67.97;3;0;0;2.0;2005.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3.9
319000.0;49.9;3;1;3;4.0;1977.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
349000.0;37.63;2;0;4;4.0;2006.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;4.1
365000.0;65.2;3;0;7;10.0;1971.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
420000.0;47.0;3;0;0;5.0;2019.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.9
369000.0;56.78;3;0;4;4.0;1967.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1.2
389000.0;52.6;3;0;3;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1.2
395000.0;69.94;3;0;4;4.0;2007.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;3.8
349000.0;50.55;2;0;2;4.0;1960.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
349000.0;50.55;2;0;2;4.0;1965.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0.6
416116.0;45.23;3;1;1;12.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;21.6
415000.0;59.0;2;0;2;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.9
375000.0;42.6;2;0;3;8.0;2013.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.8
425000.0;48.0;3;0;11;14.0;2015.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
370000.0;59.3;4;0;3;3.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
