Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
371700.0;50.4;3;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
361302.0;48.99;3;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
410674.0;56.45;4;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
353263.0;47.9;3;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
202792.0;25.27;1;1;0;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
428200.0;57.67;4;1;7;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
388994.0;53.84;3;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
299228.0;40.3;2;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
392108.0;53.53;3;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
386302.0;53.84;3;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
340000.0;51.52;3;0;0;3;1955;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.9
297213.0;40.3;2;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
389431.0;53.53;3;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
386104.0;54.19;4;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
383610.0;53.84;3;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
294905.0;40.26;2;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
386755.0;53.53;3;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.6
285000.0;34.38;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
